Question,Label
What are the most popular majors at Northwestern University?,0
How does Northwestern University rank nationally?,0
What are the on-campus housing options at Northwestern University?,0
What study abroad programs does Northwestern University offer?,0
What are Northwestern University's policies on diversity and inclusion?,0
What are the unique features of the Kellogg School of Management's MBA program?,0
How does the Kellogg School of Management facilitate networking?,0
What are the Kellogg School of Management's strengths in research?,0
How does the Kellogg School of Management support startups?,0
What global experiences does the Kellogg School of Management offer?,0
What are the notable academic programs offered at Northwestern University?,0
How does Northwestern University rank compared to other universities nationally and internationally?,0
Can you describe the campus life and student culture at Northwestern University?,0
What research initiatives or projects is Northwestern University currently involved in?,0
How does Northwestern University support its students in terms of career services?,0
What are some of the key historical milestones or achievements of Northwestern University?,0
How does Northwestern University contribute to its local community and engage in outreach programs?,0
What is the purpose of the Gifts and Hospitality Policy at Northwestern University?,1
Who needs to comply with the Northwestern University Gifts and Hospitality Policy?,1
What defines a 'gift' under the Northwestern University policy?,1
Who are considered external parties in the context of the Gifts and Hospitality Policy?,1
What are some examples of hospitality under this policy?,1
What are the restrictions on accepting gifts from external parties at Northwestern University?,1
Can employees of Northwestern University accept cash gifts or gift cards from external parties?,1
Under what conditions can business meals and hospitality be accepted by Northwestern University employees?,1
What should employees do if they are involved with vendor decisions and receive gifts or hospitality?,1
How can exceptions to the Gifts and Hospitality Policy be granted?,1
What is the process for appealing a denied exception to the Gifts and Hospitality Policy?,1
Are there any circumstances under which Northwestern faculty and staff can solicit gifts or hospitality?,1
What are the disclosure requirements for gifts and hospitality at Northwestern University?,1
How does the Gifts and Hospitality Policy relate to other Northwestern University policies?,1
What are the consequences of violating the Gifts and Hospitality Policy?,1
Which office should be contacted for questions regarding the Gifts and Hospitality Policy?,1
What is the effective date of the current Gifts and Hospitality Policy?,1
When is the next review date for the Gifts and Hospitality Policy?,1
Where can the full text of the Gifts and Hospitality Policy be found?,1
What are some examples of de minimis gifts allowed under the policy?,1
