Question,Label
What is the purpose of the Biometric Information Privacy Policy at Northwestern University?  ,1
Who are the intended audience for the policy according to the text extract?  ,1
"According to the policy, under what circumstances can Northwestern University disclose Biometric Data?  ",1
How does Northwestern University ensure the protection of Biometric Information during storage and transmission?  ,1
What is the retention schedule outlined in the policy regarding the destruction of an individual's Biometric Data?,1
What are the conditions under which the University will delete Biometric Data of individuals?  ,1
What steps does the University take if its vendors and licensors need access to Biometric Data collected?  ,1
Who should individuals contact for questions related to the Biometric Information Privacy Policy at Northwestern University?  ,1
When was the Biometric Information Privacy Policy at Northwestern University enacted?  ,1
Is there a specific office designated to address concerns regarding the Biometric Information Privacy Policy at Northwestern University?,1
What is the scope of the Merchant Card Processing Policy at Northwestern University? ,1
What are the key requirements for compliance with the policy? ,1
How does the policy ensure the secure handling of payment card information? ,1
What is the procedure for reporting suspected violations of the Merchant Card Processing Policy? ,1
What are the consequences of failing to comply with the policy guidelines?,1
What is the policy statement of Northwestern University regarding merchant card transactions?,1
Who approved the policy for merchant card transactions at Northwestern University?,1
Who needs to be aware of the policy on merchant card transactions at Northwestern University?,1
What are the types of cards accepted according to the policy at Northwestern University?,1
How does Northwestern University ensure compliance with PCI Data Security Standards in relation to merchant card transactions?,1
"What are the requirements for a Northwestern University school, department, or organization to accept credit or debit card payments according to the Merchant Card Processing Policy?",1
What are the potential ramifications of not complying with the minimum security standards required by the payment card industry (PCI DSS) as outlined in the policy?,1
Who is the responsible university official mentioned in the Merchant Card Processing Policy document?,1
"According to the policy, who needs to be aware of the Merchant Card Processing Policy at Northwestern University?",1
What is the definition of an e-Merchant provided in the policy documentation related to Northwestern University?,1
"What security standard is required by a consortium of card providers such as Visa, Master Card, Discover, and American Express?",1
What is the purpose of a POS system in processing payments?,1
How is card data captured using a terminal for credit card payments?,1
What is a Terminal ID and what is its significance in electronic processing of credit card payments?,1
What are the factors considered when granting approvals for merchant card transactions at Northwestern University?,1
What is required for a proposed e-Commerce solution to receive NUIT approval?,1
What are the types of merchant cards authorized for use at Northwestern University?,1
Who must provide prior approval for all contracts related to payment processing systems or services?,1
Under what circumstances might a third party suggest processing payments under their own Merchant ID?,1
What standards does PCI DSS apply to at Northwestern University?,1
What are the requirements of the NU PCI Compliance Program for merchants at Northwestern University?,1
How should merchants ensure the security of Non-PCI e-Commerce System Components according to the policy?,1
Why are merchants advised to outsource their e-commerce systems to PCI compliant service providers?,1
What services will NUIT provide in terms of hosting and network services for components that fall outside the scope of PCI DSS?,1
Who is responsible for reviewing e-commerce business cases and technical requirements to assess the budget and administrative impact due to payment processing activities at Northwestern University?,1
What are the consequences for a merchant who fails to comply with Northwestern University's PCI DSS security training requirements and vulnerability scans?,1
How should a merchant respond to a cardholder data breach according to the NU Incident Response Protocol?,1
"What actions can lead to fines, legal fees, and account revocation for a merchant in the event of a security breach involving sensitive data?",1
Where can merchants find the NU Incident Response Protocol for handling potential security breaches at Northwestern University?,1
What are the key components listed in the appendices related to Northwestern University's Merchant Card Processing Procedures?,1
What is the main goal of Northwestern University's Sustainable Waste Management Policy?  ,1
Who does the Sustainable Waste Management Policy at Northwestern University apply to?  ,1
What are some examples of electronic waste or e-waste as defined by the policy?  ,1
"How does the policy define hazardous waste, and what are some examples provided?  ",1
Which office is responsible for overseeing the implementation of Northwestern University's Sustainable Waste Management Policy?,1
What is considered municipal solid waste and how should it be handled according to Northwestern University Policy?  ,1
What is the definition of non-research area within the context of University property?  ,1
Can you provide examples of materials that fall under the category of specially-regulated waste according to Northwestern University Policy?  ,1
How does Northwestern University Policy recommend handling electronic waste according to Illinois law?  ,1
"In what manner should University-generated hazardous waste, specially-regulated waste, and universal waste be labeled, handled, stored, and disposed of according to Northwestern University Policy?",1
"What departments are responsible for reviewing operations to determine waste reduction opportunities at Northwestern University, according to the policy?  ",1
Who is responsible for prioritizing the procurement of goods and services with less negative effects on human health and the environment at Northwestern University?  ,1
"What responsibilities do Northwestern faculty, staff, students, and vendor personnel have regarding waste management under the policy?  ",1
Who maintains procedures for municipal solid waste disposal at Northwestern University as outlined in the policy?  ,1
"What are the responsibilities of Northwestern's Office of Research Safety (ORS) regarding waste disposal, according to the policy?  ",1
What are the responsibilities of Northwestern University's Office of Risk Management related to hazardous waste management in non-research areas?,1
How does Northwestern University ensure that non-research employees handling hazardous waste are trained properly?,1
"What are the potential consequences for Northwestern faculty, students, or staff who fail to comply with the laws and regulations related to hazardous waste disposal?",1
Which governmental regulations and ordinances are referenced in the Northwestern University Policy regarding hazardous waste management?,1
"Where does Northwestern University store records of completion of required trainings for its employees, and are there exceptions to this storage location?",1
"What is the purpose of the ""Purple Guide"" at Northwestern University?  ",1
Who can address questions regarding radioactive waste disposal at Northwestern University?  ,1
Where can one find the Recycling Guidelines at Northwestern University?  ,1
Who is responsible for overseeing training requirements related to hazardous waste disposal at Northwestern University?  ,1
When did the new waste management policy come into effect at Northwestern University?,1
What is the purpose of the Information Security Policy at Northwestern University?,1
Who is responsible for adhering to the information security policies at Northwestern University?,1
What types of controls should be in place to secure Information and Communication Technologies (ICT) and Institutional Data at Northwestern University?,1
Who are the intended audiences for the Northwestern University Information Security Policy?,1
What is the role of the Chief Information Security Officer (CISO) at Northwestern University?,1
What responsibilities do Principal Investigators and other researchers have regarding data at Northwestern University? ,1
What is the definition of Institutional Data according to the university's policy? ,1
Who are Security Leads/Information Security Designates at Northwestern University and what are their roles?,1
What is the role of Senior Leadership according to the policy in implementing information security governance at the university?,1
What is the responsibility of the IT Executive Committee at Northwestern University and who are its members?,1
What is the role of the Information Security Advisory Committee (ISAC) at Northwestern University?,1
How does the University CISO consult with school and business unit Information Security Leads/Designates regarding security vulnerability exceptions?,1
What is the responsibility of the Research Security Committee at Northwestern University?,1
Who are the members of the Research Security Committee at Northwestern University?,1
What is the role of the Information Security Office (ISO) at Northwestern University?,1
What is the purpose of the Northwestern University Policy on information security? ,1
How does the policy define sensitive information? ,1
What are the responsibilities of users under this policy? ,1
How often are users required to complete security awareness training? ,1
What actions may be taken in case of non-compliance with the policy?,1
What is the purpose of the policy on Employment or Evaluation of Relatives at Northwestern University?,1
What limitations does Northwestern University have on supervisory or evaluative relationships between relatives?,1
What are some examples of positions of unequal power at the university where conflicts of interest may arise due to family relationships?,1
Who are the Responsible University Officials for approving the policy on Employment or Evaluation of Relatives at Northwestern University?,1
When was the policy on Employment or Evaluation of Relatives first implemented at Northwestern University?,1
Who does the Northwestern University Policy apply to?  ,1
What is the website address for accessing the policy?  ,1
Who can be contacted for questions related to the policy?  ,1
What is the definition of family members according to the policy?  ,1
What are the consequences of violating this policy at Northwestern University?,1
What is the purpose of the Travel and Entertainment policy at Northwestern University?,1
Who are considered the audience for the Travel and Entertainment policy at Northwestern University?,1
What are the minimum requirements for approval and reimbursement of travel and entertainment expenses as per the policy?,1
"Why is it important for all expenditures to support and advance Northwestern's mission of education, research, and public service?",1
What are the consequences of violating the Travel and Entertainment policy at Northwestern University?,1
What are the requirements for an expense reimbursement plan to be considered an Accountable Plan according to Northwestern University Policy?,1
What expenses require adequate records and documentary evidence for reimbursement according to Northwestern University Policy?,1
What guidelines does Northwestern University follow for Cost Allowability related to Sponsored Charges?,1
Under what conditions does Northwestern University accept scanned receipts as valid documentary evidence for reimbursement?,1
"How does Northwestern University define in-town travel, inter-campus travel, and non-conventional lodging in its policy?",1
What are the minimum requirements for an expense to be considered allowable under Northwestern University's policy?,1
